rodata;clube;cartao;atleta;num_camisa;posicao;minuto
5;Coritiba;Amarelo;Zé Roberto;18;Atacante;37
5;Coritiba;Amarelo;Natanael;16;Zagueiro;85
5;Vasco;Amarelo;Matías Galarza;19;Meio-campo;57
5;Botafogo-RJ;Amarelo;Víctor Cuesta;15;Zagueiro;85
5;Corinthians;Amarelo;Fábio Santos;6;Zagueiro;45
5;Corinthians;Amarelo;Carlos Gilberto do Nascimento Silva;4;Zagueiro;85
5;Fortaleza;Amarelo;Emanuel Brítez;19;Zagueiro;21
5;Sao Paulo;Amarelo;Gabriel Neves;20;Meio-campo;80
5;Sao Paulo;Amarelo;Raí Ramos;34;Zagueiro;29
5;Sao Paulo;Vermelho;Rodrigo Nestor;11;Meio-campo;71
5;Fortaleza;Amarelo;Yago Pikachu;22;Meio-campo;45
5;Sao Paulo;Amarelo;Alisson Euler de Freitas Castro;7;Meio-campo;91
5;Sao Paulo;Amarelo;Rodrigo Nestor;11;Meio-campo;45
5;Fortaleza;Vermelho;Emanuel Brítez;19;Zagueiro;62
6;Bahia;Amarelo;Yago Rocha;20;Meio-campo;60
6;Bahia;Amarelo;David Duarte;33;Zagueiro;47
6;Bahia;Amarelo;Vitor Hugo Franchescoli de Souza;31;Zagueiro;26
6;Flamengo;Amarelo;Giorgian De Arrascaeta;14;Meio-campo;93
6;Flamengo;Amarelo;Fabrício Bruno;15;Zagueiro;62
6;Bahia;Vermelho;Julio Cesar de Rezende Miranda;5;Zagueiro;74
6;Bahia;Amarelo;Kanu;4;Zagueiro;74
6;Bahia;Amarelo;Ademir;7;Atacante;55
6;Bahia;Amarelo;Julio Cesar de Rezende Miranda;5;Zagueiro;39
6;Flamengo;Amarelo;Ayrton Lucas Dantas de Medeiros;6;Zagueiro;94
6;Flamengo;Amarelo;Léo Pereira;4;Zagueiro;87
6;Flamengo;Amarelo;Arturo Vidal;32;Meio-campo;51
6;Bahia;Vermelho;Kanu;4;Zagueiro;77
6;Fluminense;Amarelo;Giovanni Manson Ribeiro;37;Meio-campo;79
6;Fluminense;Amarelo;Guga;23;Zagueiro;25
6;Cuiaba;Amarelo;Matheus Alexandre Anastácio de Souza;2;Zagueiro;42
6;Cuiaba;Amarelo;Walter Leandro Capeloza Artune;1;Goleiro;23
6;Fluminense;Amarelo;Jhon Arias;21;Meio-campo;40
6;Cuiaba;Amarelo;Mateusinho;98;Zagueiro;45
6;Cuiaba;Amarelo;Denilson;27;Meio-campo;33
6;Bragantino;Amarelo;Alerrandro Barra Mansa Realino de Souza;9;Atacante;85
6;Bragantino;Amarelo;Eric dos Santos Rodrigues;7;Meio-campo;42
6;Palmeiras;Amarelo;Gustavo Gómez;15;Zagueiro;89
6;Bragantino;Amarelo;Cleiton Schwengber;1;Goleiro;83
6;Bragantino;Amarelo;Juninho Capixaba;29;Zagueiro;17
6;Atletico-MG;Amarelo;Jemerson de Jesus Nascimento;34;Zagueiro;88
6;Internacional;Amarelo;Nicolás Hernández;22;Zagueiro;72
6;Internacional;Amarelo;Alexandre Alemão;35;Atacante;7
6;Atletico-MG;Amarelo;Cristian Pavón;9;Meio-campo;7
6;Internacional;Amarelo;Rômulo Zwarg;40;Meio-campo;45
6;Gremio;Amarelo;Walter Kannemann;4;Zagueiro;79
6;Fortaleza;Amarelo;Lucas Sasha;88;Meio-campo;95
6;Fortaleza;Amarelo;Brayan Ceballos;3;Zagueiro;41
6;Gremio;Amarelo;Mathías Villasanti;20;Meio-campo;93
6;Gremio;Amarelo;Reinaldo Manoel da Silva;22;Zagueiro;43
6;Fortaleza;Amarelo;Calebe Gonçalves Ferreira da Silva;27;Meio-campo;52
6;Fortaleza;Amarelo;Cristian Chagas Tarouco;4;Zagueiro;21
6;Vasco;Amarelo;Leonardo Pinheiro;3;Zagueiro;91
6;Vasco;Amarelo;José Luis Rodríguez Bebanz;2;Zagueiro;76
6;Santos;Amarelo;Nathan Santos;22;Zagueiro;72
6;Vasco;Amarelo;Robson Bambu;30;Zagueiro;78
6;Vasco;Amarelo;Erick Marcus;16;Atacante;75
6;Corinthians;Amarelo;Fagner;23;Zagueiro;5
6;Sao Paulo;Amarelo;Rafinha;13;Zagueiro;45
6;Sao Paulo;Amarelo;Lucas Beraldo;35;Zagueiro;11
6;Corinthians;Amarelo;Carlos Gilberto do Nascimento Silva;4;Zagueiro;27
6;Sao Paulo;Amarelo;Luciano da Rocha Neves;10;Meio-campo;45
6;Sao Paulo;Amarelo;Caio Paulista;38;Zagueiro;28
6;Athletico-PR;Amarelo;Fernandinho;5;Meio-campo;86
6;Coritiba;Amarelo;Marcos Vinícius;22;Zagueiro;40
6;Coritiba;Amarelo;Marcelino Moreno;10;Meio-campo;21
6;Athletico-PR;Amarelo;Vitor Bueno;8;Meio-campo;98
6;Athletico-PR;Amarelo;Fernando Augusto Pereira Bueno Júnior;6;Zagueiro;63
6;Coritiba;Amarelo;Bruno Gomes;6;Meio-campo;30
6;America-MG;Amarelo;Aloísio dos Santos Gonçalves;99;Atacante;68
6;America-MG;Amarelo;Ricardo Silva;45;Zagueiro;36
6;Goias;Amarelo;Dodô;95;Meio-campo;92
6;Goias;Amarelo;Matheus Peixoto;17;Atacante;32
6;Goias;Amarelo;Willian;12;Meio-campo;19
6;Botafogo-RJ;Amarelo;Fernando Marçal;21;Zagueiro;77
6;Goias;Amarelo;Zé Ricardo;5;Meio-campo;95
6;Goias;Amarelo;Lucas Halter;3;Zagueiro;70
6;Goias;Amarelo;Magno Jose da Silva;2;Zagueiro;25
6;Botafogo-RJ;Amarelo;Adryelson;34;Zagueiro;86
6;Botafogo-RJ;Amarelo;Luis Segovia;4;Zagueiro;38
7;Bahia;Amarelo;Ryan;66;Meio-campo;84
7;Goias;Amarelo;Alesson;27;Meio-campo;62
7;Goias;Amarelo;Magno Jose da Silva;2;Zagueiro;69
7;Goias;Amarelo;Zé Ricardo;5;Meio-campo;36
7;Bragantino;Amarelo;Jadsom;5;Meio-campo;95
7;Bragantino;Amarelo;Cleiton Schwengber;1;Goleiro;21
7;Athletico-PR;Amarelo;Agustín Canobbio;14;Atacante;85
7;Bragantino;Amarelo;Eduardo Sasha;19;Atacante;79
7;Athletico-PR;Amarelo;Thiago Andrade;19;Atacante;86
7;Athletico-PR;Amarelo;Madson;22;Zagueiro;80
7;Vasco;Amarelo;Pedro Raul;9;Atacante;84
7;Vasco;Amarelo;Figueiredo;15;Atacante;49
7;Vasco;Amarelo;Jair Rodrigues Júnior;8;Meio-campo;75
7;Vasco;Amarelo;Cauan Barros;88;Meio-campo;35
7;America-MG;Amarelo;Márcio Almeida de Oliveira;25;Zagueiro;60
7;America-MG;Amarelo;Danilo Avelar;22;Zagueiro;16
7;Fortaleza;Amarelo;Brayan Ceballos;3;Zagueiro;23
7;America-MG;Amarelo;Lucas Kal;21;Meio-campo;88
7;America-MG;Amarelo;Renato Marques;78;Atacante;53
7;Fortaleza;Amarelo;Moisés Vieira da Veiga;21;Meio-campo;45
7;Botafogo-RJ;Amarelo;Víctor Cuesta;15;Zagueiro;45
7;Botafogo-RJ;Amarelo;Tiquinho Soares;9;Atacante;41
7;Fluminense;Amarelo;Leanderson da Silva Genésio;99;Atacante;52
7;Botafogo-RJ;Amarelo;Carlos Eduardo de Oliveira Alves;33;Meio-campo;93
7;Botafogo-RJ;Amarelo;Fernando Marçal;21;Zagueiro;43
7;Fluminense;Amarelo;Nino;33;Zagueiro;93
7;Atletico-MG;Vermelho;Mauricio Lemos;28;Zagueiro;89
7;Coritiba;Amarelo;Robson Fernandes;30;Atacante;45
7;Coritiba;Amarelo;Zé Roberto;18;Atacante;28
7;Atletico-MG;Amarelo;Renzo Saravia;26;Zagueiro;94
7;Atletico-MG;Amarelo;Mauricio Lemos;28;Zagueiro;66
7;Atletico-MG;Amarelo;Hyoran;20;Meio-campo;58
7;Atletico-MG;Amarelo;Igor Gomes;17;Meio-campo;43
7;Coritiba;Vermelho;Zé Roberto;18;Atacante;55
