"partida_id","rodata","clube","cartao","atleta","num_camisa","posicao","minuto"
"8158","14","Atletico-MG","1","Mariano","25","Zagueiro","43"
"8158","14","Corinthians","1","Murillo","34","Zagueiro","68"
"8158","14","Atletico-MG","1","Jemerson de Jesus Nascimento","34","Zagueiro","50"
"8158","14","Corinthians","1","Róger Guedes","10","Atacante","91"
"8159","14","Coritiba","1","Alef Manga","11","Meio-campo","80"
"8159","14","Coritiba","1","Henrique Adriano Buss","3","Zagueiro","56"
"8159","14","America-MG","1","Everaldo","37","Meio-campo","45"
"8159","14","America-MG","1","Lucas Kal","21","Meio-campo","25"
"8159","14","Coritiba","1","Kaio César Andrade Lima","37","Atacante","86"
"8159","14","Coritiba","1","Luan Polli","27","Goleiro","73"
"8159","14","Coritiba","1","Rodrigo Pinho","9","Atacante","46"
"8159","14","America-MG","1","Emmanuel Martínez","5","Meio-campo","36"
"8160","14","Palmeiras","1","Mayke","12","Zagueiro","35"
"8160","14","Flamengo","1","Ayrton Lucas Dantas de Medeiros","6","Zagueiro","55"
"8160","14","Palmeiras","1","Richard Ríos","27","Meio-campo","76"
"8160","14","Flamengo","1","Fabrício Bruno","15","Zagueiro","73"
"8160","14","Flamengo","1","Victor Hugo","29","Meio-campo","33"
"8161","14","Santos","2","Vladimir Orlando Cardoso de Araújo Filho","1","Goleiro","62"
"8161","14","Santos","1","Luan Dias","97","Meio-campo","103"
"8161","14","Santos","1","Sandry Roberto","6","Meio-campo","66"
"8161","14","Santos","1","Rodrigo Fernández","14","Meio-campo","47"
"8161","14","Goias","1","Matheus Santos","30","Atacante","89"
"8161","14","Goias","2","Guilherme","60","Meio-campo","101"
"8161","14","Santos","1","Bruno Mezenga","88","Atacante","79"
"8161","14","Santos","1","João Paulo","34","Goleiro","51"
"8161","14","Santos","1","Marcos Leonardo","9","Atacante","31"
"8161","14","Goias","1","Luis Felipe Oyama","55","Meio-campo","68"
"8163","14","Bragantino","1","Vitor Hugo Naum dos Santos","28","Atacante","31"
"8163","14","Sao Paulo","1","Marcos Paulo Costa do Nascimento","32","Atacante","39"
"8163","14","Bragantino","1","Juninho Capixaba","29","Zagueiro","94"
"8163","14","Sao Paulo","1","Nathan","45","Zagueiro","66"
"8162","14","Fluminense","1","Keno","11","Meio-campo","47"
"8162","14","Internacional","1","Gabriel Mercado","25","Zagueiro","71"
"8162","14","Internacional","1","Carlos de Pena","14","Meio-campo","50"
"8162","14","Fluminense","1","Germán Cano","14","Atacante","10"
"8162","14","Internacional","1","Gustavo Campanharo","17","Meio-campo","69"
"8164","14","Athletico-PR","1","Hugo Moura","17","Meio-campo","96"
"8164","14","Athletico-PR","1","Vinicius Kauê","21","Meio-campo","50"
"8164","14","Fortaleza","1","Mário Sérgio Santos Costa","15","Meio-campo","56"
"8164","14","Fortaleza","1","Emanuel Brítez","19","Zagueiro","37"
"8164","14","Athletico-PR","1","Marcelo Cirino da Silva","7","Atacante","61"
"8164","14","Fortaleza","1","Thiago Galhardo","91","Atacante","95"
"8165","14","Gremio","1","Reinaldo Manoel da Silva","22","Meio-campo","30"
"8165","14","Botafogo-RJ","1","Danilo Neves","6","Meio-campo","77"
"8165","14","Botafogo-RJ","1","Tiquinho Soares","9","Atacante","58"
"8165","14","Gremio","1","Cuiabano","54","Zagueiro","79"
"8165","14","Botafogo-RJ","1","Fernando Marçal","21","Zagueiro","91"
"8165","14","Botafogo-RJ","1","Philipe Sampaio","94","Zagueiro","76"
"8165","14","Botafogo-RJ","1","Hugo","16","Zagueiro","36"
"8166","15","Botafogo-RJ","1","Víctor Cuesta","15","Zagueiro","53"
"8166","15","Bragantino","1","Vitor Hugo Naum dos Santos","28","Meio-campo","21"
"8167","15","Cruzeiro","1","Neris","27","Zagueiro","51"
"8167","15","Coritiba","1","Jamerson Bahia","83","Zagueiro","58"
"8167","15","Coritiba","1","Marcelino Moreno","10","Meio-campo","30"
"8167","15","Coritiba","1","Jean Pedroso","47","Zagueiro","89"
"8167","15","Coritiba","1","Benjamín Kuscevic","13","Zagueiro","39"
"8168","15","Fortaleza","1","Thiago Galhardo","91","Atacante","68"
"8168","15","Fortaleza","1","Bruno Pacheco","6","Meio-campo","47"
"8168","15","Cuiaba","1","Pablo Cepellini","10","Meio-campo","99"
"8168","15","Cuiaba","1","Clayson","29","Atacante","43"
"8168","15","Fortaleza","1","Emanuel Brítez","19","Zagueiro","94"
"8168","15","Fortaleza","1","Marcelo da Conceição Benevenuto Malaquias","5","Zagueiro","64"
"8168","15","Fortaleza","1","Caio Alexandre","8","Meio-campo","25"
"8168","15","Cuiaba","1","Iury Lirio Freitas de Castilho","99","Atacante","65"
"8168","15","Cuiaba","1","Deyverson","16","Atacante","40"
"8169","15","Flamengo","2","Luiz Araújo","22","Atacante","97"
"8169","15","Fluminense","1","John Kennedy","9","Atacante","100"
"8169","15","Fluminense","1","André","7","Meio-campo","47"
"8169","15","Fluminense","1","Pedro Rangel","22","Goleiro","22"
"8169","15","Fluminense","1","Felipe Melo","30","Zagueiro","14"
"8169","15","Flamengo","1","Gabriel Barbosa","10","Atacante","90"
"8169","15","Flamengo","1","Thiago Maia","8","Meio-campo","50"
"8169","15","Fluminense","1","Lima","45","Meio-campo","85"
"8169","15","Fluminense","1","Germán Cano","14","Atacante","37"
"8169","15","Fluminense","1","Paulo Henrique Ganso","10","Meio-campo","14"
"8169","15","Flamengo","1","Filipe Luís","16","Zagueiro","101"
"8169","15","Flamengo","1","André Luiz","38","Atacante","81"
"8169","15","Flamengo","1","Éverton Ribeiro","7","Meio-campo","27"
"8170","15","Sao Paulo","1","Michel Araújo","15","Meio-campo","92"
"8170","15","Sao Paulo","1","Alisson Euler de Freitas Castro","7","Meio-campo","50"
"8170","15","Santos","1","Joaquim Henrique","28","Zagueiro","70"
"8170","15","Santos","1","Stiven Mendoza","20","Meio-campo","24"
"8170","15","Sao Paulo","1","David Corrêa da Fonseca","22","Atacante","90"
"8170","15","Santos","1","Kevyson","38","Zagueiro","86"
"8170","15","Santos","1","Sandry Roberto","6","Meio-campo","35"
"8170","15","Santos","1","Messias Rodrigues da Silva Júnior","24","Zagueiro","13"
"8171","15","Athletico-PR","1","Thiago Heleno","44","Zagueiro","84"
"8171","15","Bahia","1","Everaldo Stum","9","Atacante","63"
"8171","15","Athletico-PR","1","Ivaldo","3","Zagueiro","66"
"8172","15","Palmeiras","1","Gustavo Gómez","15","Zagueiro","82"
"8172","15","Palmeiras","1","Gabriel Menino","25","Meio-campo","32"
"8172","15","Internacional","1","Vitão","44","Zagueiro","25"
"8172","15","Palmeiras","1","José Manuel Alberto López","18","Atacante","38"
"8173","15","Goias","1","Lucas Halter","3","Zagueiro","94"
"8173","15","Goias","1","Bruno Melo","19","Zagueiro","66"
"8173","15","Atletico-MG","1","Eduardo Vargas","11","Atacante","91"
"8173","15","Atletico-MG","1","Jemerson de Jesus Nascimento","34","Zagueiro","73"
"8173","15","Atletico-MG","2","Guilherme Arana","13","Zagueiro","92"
"8173","15","Goias","1","Allano","77","Atacante","97"
"8173","15","Goias","1","Diego Gonçalves","11","Atacante","74"
"8173","15","Goias","1","João Magno","45","Atacante","44"
"8173","15","Atletico-MG","1","Alan Franco Palma","23","Meio-campo","84"
"8173","15","Atletico-MG","1","Igor Rabello","16","Zagueiro","57"
"8176","16","Palmeiras","1","José Rafael Vivian","8","Meio-campo","81"
"8176","16","Fortaleza","1","Silvio Romero","18","Atacante","85"
"8176","16","Fortaleza","1","José Welison","17","Meio-campo","78"
"8176","16","Fortaleza","1","Cristian Chagas Tarouco","4","Zagueiro","9"
"8176","16","Palmeiras","1","Weverton Pereira da Silva","21","Goleiro","83"
"8176","16","Palmeiras","1","Joaquín Piquerez","22","Zagueiro","79"
"8176","16","Fortaleza","1","Emanuel Brítez","19","Zagueiro","82"
"8176","16","Fortaleza","1","Lucas Sasha","88","Meio-campo","75"
"8176","16","Fortaleza","1","Marcelo da Conceição Benevenuto Malaquias","5","Zagueiro","6"
"8177","16","Flamengo","1","Ayrton Lucas Dantas de Medeiros","6","Zagueiro","42"
"8177","16","America-MG","1","Iago Maidana","3","Zagueiro","57"
"8177","16","America-MG","1","Paulo Bóia","47","Atacante","51"
"8177","16","Flamengo","1","Giorgian De Arrascaeta","14","Meio-campo","39"
"8177","16","America-MG","1","Martín Benítez","10","Meio-campo","54"
"8177","16","America-MG","1","Daniel Borges","20","Zagueiro","19"
"8178","16","Cuiaba","1","Marllon Borges","4","Zagueiro","75"
"8178","16","Sao Paulo","1","Pablo Maia","29","Meio-campo","97"
"8178","16","Sao Paulo","1","Luciano da Rocha Neves","10","Atacante","60"
"8178","16","Sao Paulo","1","Diego Costa","4","Zagueiro","30"
"8178","16","Cuiaba","1","Jonathan Cafú","7","Atacante","47"
"8178","16","Sao Paulo","1","Erison Danilo de Souza","49","Atacante","86"
"8178","16","Sao Paulo","1","Jonathan Calleri","9","Atacante","47"
"8179","16","Bahia","1","Ademir","7","Atacante","92"
"8179","16","Corinthians","1","Carlos Gilberto do Nascimento Silva","4","Zagueiro","93"
"8179","16","Bahia","1","Yago Rocha","20","Meio-campo","96"
"8179","16","Bahia","1","Kanu","4","Zagueiro","86"
"8179","16","Corinthians","1","Murillo","34","Zagueiro","90"
"8180","16","Gremio","1","Gabriel Grando","12","Goleiro","84"
"8180","16","Gremio","1","Bruno Uvini","15","Zagueiro","5"
"8180","16","Atletico-MG","1","Alisson Santana","45","Atacante","89"
"8180","16","Atletico-MG","1","Rubens","44","Zagueiro","50"
"8180","16","Gremio","1","Reinaldo Manoel da Silva","22","Meio-campo","62"
"8180","16","Atletico-MG","1","Mauricio Lemos","28","Zagueiro","89"
"8180","16","Atletico-MG","1","Renzo Saravia","26","Zagueiro","76"
"8181","16","Bragantino","1","Natan Bernardo de Souza","4","Zagueiro","53"
"8181","16","Internacional","1","Matheus Dias","41","Meio-campo","91"
"8181","16","Bragantino","1","Léo Ortiz","3","Zagueiro","78"
"8181","16","Bragantino","1","José Hurtado","34","Zagueiro","49"
"8181","16","Internacional","1","Alan Patrick","10","Meio-campo","74"
"8183","16","Cruzeiro","1","Bruno Rodrigues","9","Meio-campo","97"
"8183","16","Cruzeiro","1","Gilberto Oliveira Souza Junior","21","Atacante","77"
"8183","16","Goias","1","Allano","77","Atacante","97"
"8183","16","Goias","1","João Magno","45","Atacante","74"
"8183","16","Goias","1","Willian","12","Meio-campo","50"
"8183","16","Cruzeiro","1","Luciano Castán","4","Zagueiro","84"
"8183","16","Cruzeiro","1","Rafael Cabral Barbosa","1","Goleiro","28"
"8183","16","Goias","1","Hugo","66","Zagueiro","91"
"8183","16","Goias","1","Sander Henrique Bortolotto","6","Zagueiro","52"
"8182","16","Santos","1","Alex","31","Zagueiro","91"
"8182","16","Santos","1","João Lucas","13","Zagueiro","63"
"8182","16","Botafogo-RJ","1","Fernando Marçal","21","Zagueiro","76"
"8182","16","Santos","1","Jean Lucas Oliveira","8","Meio-campo","70"
"8182","16","Botafogo-RJ","1","Matías Segovia","19","Meio-campo","89"
"8182","16","Botafogo-RJ","1","Adryelson","34","Zagueiro","70"
"8184","16","Athletico-PR","2","Ivaldo","3","Zagueiro","95"
"8184","16","Vasco","1","Zé Vitor","44","Zagueiro","35"
"8184","16","Athletico-PR","1","Fernandinho","5","Meio-campo","58"
"8184","16","Vasco","1","Jair Rodrigues Júnior","8","Meio-campo","65"
"8184","16","Athletico-PR","1","Lucas Esquivel","37","Zagueiro","70"
"8184","16","Athletico-PR","1","Khellven","2","Meio-campo","41"
"8185","16","Coritiba","1","Bruno Viana","5","Zagueiro","61"
"8185","16","Fluminense","1","André","7","Meio-campo","48"
"8185","16","Coritiba","1","Robson Fernandes","30","Meio-campo","17"
"8186","17","Fluminense","1","Martinelli","8","Meio-campo","75"
"8186","17","Fluminense","1","André","7","Meio-campo","20"
"8186","17","Fluminense","1","Nino","33","Zagueiro","10"
"8186","17","Santos","1","Lucas Braga Ribeiro","30","Atacante","90"
"8186","17","Santos","1","José Rodolfo Pires Ribeiro","16","Zagueiro","47"
